headline,category
"Government announces new tax reforms for 2025.","Politics"
"Local team wins the national football championship.","Sports"
"Tech giant releases its latest AI-powered smartphone.","Technology"
"Actor donates millions to children's hospital.","Entertainment"
"Stock markets surge after positive economic data.","Business"
"Prime Minister addresses the nation in live broadcast.","Politics"
"New AI startup raises $50 million in funding round.","Technology"
"Cricket legend retires after two decades of play.","Sports"
"Movie breaks box office records in opening weekend.","Entertainment"
"Central Bank raises interest rates amid inflation fears.","Business"
"Opposition parties unite against government policies.","Politics"
"Startup develops breakthrough renewable energy storage tech.","Technology"
"Football coach praises players after major victory.","Sports"
"Famous singer announces world tour dates for next year.","Entertainment"
"Company shares drop following poor quarterly results.","Business"
"New education bill passed by parliament.","Politics"
"Researchers discover new planet in nearby solar system.","Technology"
"Basketball star signs record-breaking contract.","Sports"
"Streaming platform launches new original series.","Entertainment"
"Oil prices fall after OPEC meeting.","Business"
"President meets foreign leaders for peace talks.","Politics"
"Cybersecurity firm warns of rising ransomware attacks.","Technology"
"Tennis player wins grand slam title in stunning final.","Sports"
"Documentary wins best film award at international festival.","Entertainment"
"Real estate prices hit record highs in major cities.","Business"
"Senate debates controversial healthcare reform bill.","Politics"
"Scientists unveil next-gen quantum computer chip.","Technology"
"Team captain announces retirement after long career.","Sports"
"TV drama receives critical acclaim from reviewers.","Entertainment"
"Major bank reports record profits this quarter.","Business"
"Government proposes new climate action plan.","Politics"
"New app aims to improve mental health awareness.","Technology"
"National team prepares for upcoming championship tournament.","Sports"
"Celebrity couple announces engagement on social media.","Entertainment"
"Automakers see strong sales growth in Q3.","Business"
"President signs trade deal with neighboring countries.","Politics"
"Developers release update fixing major software bug.","Technology"
"Fans celebrate victory after thrilling football match.","Sports"
"Actor wins lifetime achievement award.","Entertainment"
"Financial experts predict slower growth next year.","Business"
"Government launches new public healthcare initiative.","Politics"
"Robotics company introduces humanoid service robot.","Technology"
"Boxer wins championship belt in knockout match.","Sports"
"Festival showcases emerging talent in film industry.","Entertainment"
"Investors cautious ahead of central bank announcement.","Business"
"Minister announces plans for infrastructure development.","Politics"
"AI research lab publishes new machine learning framework.","Technology"
"Runner breaks world record in 100m dash.","Sports"
"Comedy movie becomes surprise summer hit.","Entertainment"
"Currency exchange rates remain stable after policy change.","Business"
"Government to hold emergency meeting on foreign policy.","Politics"
"Tech company unveils foldable tablet with 3D display.","Technology"
"Cricket fans celebrate team’s unexpected comeback win.","Sports"
"Actress launches new clothing line at major fashion event.","Entertainment"
